441,1527
272,1512
1644,1479
1470,1463
1295,1448
1124,1434
954,1419
785,1406
619,1394
1829,1335
1651,1320
1477,1305
1305,1291
1134,1279
964,1268
795,1257
628,1246
292,1226
1835,1173
1657,1160
1483,1149
1312,1138
1141,1127
972,1117
804,1108
636,1098
469,1091
1841,1011
1661,1002
1488,993
1316,983
1146,975
977,967
809,959
641,953
476,946
307,940
1666,845
1491,838
1318,830
1148,824
980,818
812,812
646,807
478,803
1492,683
1320,678
1149,674
982,670
816,666
648,663
481,660
313,656
