1125,1526
955,1512
788,1497
618,1485
452,1473
286,1461
116,1450
1132,1372
968,1359
798,1347
629,1337
464,1327
295,1317
1144,1218
975,1206
807,1197
639,1190
1153,1064
984,1055
814,1049
646,1043
479,1037
310,1031
145,1025
5,1008
1324,921
1157,913
989,906
820,901
650,897
486,891
315,888
149,884
3,875
1326,766
1159,762
990,758
822,754
656,749
491,742
328,740
164,738
1157,613
991,610
824,608
489,604
657,605
165,600
330,598
989,462
822,462
655,460
490,459
165,460
328,459
489,317
648,315
