1277,1525
1106,1509
935,1496
764,1482
1993,1426
1814,1412
1637,1397
1461,1383
1288,1369
1116,1357
944,1344
775,1333
1823,1251
1645,1238
1469,1226
1296,1215
1123,1203
952,1194
783,1184
1827,1091
1650,1080
1475,1071
1300,1060
1129,1052
957,1044
788,1037
1835,929
1655,924
1478,915
1305,907
1132,901
962,894
794,890
1838,771
1479,761
1305,756
1134,751
964,749
796,744
1480,607
1305,604
1134,602
964,601
798,600
796,455
1480,451
964,455
1302,453
1131,453
