1268,1533
1100,1521
930,1507
1990,1429
1809,1417
1632,1404
1456,1391
1281,1379
1110,1367
939,1358
770,1347
2000,1265
1818,1256
1639,1245
1463,1235
1290,1225
1117,1216
947,1207
779,1200
614,1191
1822,1095
1645,1088
1469,1079
1295,1071
1123,1064
953,1059
785,1053
621,1047
1830,935
1648,930
1472,925
1299,920
1127,915
957,911
789,907
627,902
1654,772
1474,770
1299,768
1128,765
959,765
792,762
793,618
1474,617
959,617
1129,617
1299,616
792,475
959,473
1127,469
1297,465
1477,459
788,331
956,327
1125,322
782,187
950,181
1119,168
777,39
945,35
1287,5
