266,1533
1636,1488
1463,1473
1289,1459
1119,1447
948,1435
780,1422
612,1411
443,1401
276,1392
1648,1328
1471,1316
1299,1305
1128,1293
958,1283
790,1273
623,1264
454,1257
285,1248
1653,1169
1479,1159
1305,1150
1135,1141
966,1133
797,1125
630,1118
460,1112
293,1105
1659,1013
1482,1003
1310,996
1141,990
970,983
803,978
635,972
467,968
300,963
1659,854
1484,849
1314,844
1143,839
974,836
806,831
639,828
471,824
306,821
1836,700
1660,697
1486,695
1315,691
1145,690
975,688
808,686
640,684
472,681
305,680
1837,541
1659,541
1315,539
1144,541
975,542
1484,540
807,541
639,540
471,538
306,537
159,534
305,397
470,396
974,395
637,396
806,395
1142,394
1310,391
1481,389
1656,384
303,260
469,256
635,255
969,250
801,251
1139,246
1306,240
1478,233
297,119
463,115
630,110
796,102
965,99
1133,95
1302,84
1476,73
