1468,1324
786,1286
619,1280
1475,1169
1301,1161
1129,1154
961,1146
792,1140
626,1136
457,1131
290,1126
1650,1020
1478,1014
1306,1008
1136,1004
966,998
799,994
633,990
294,986
462,987
1658,860
1481,859
1309,856
1138,854
970,851
800,849
632,845
301,841
466,843
1310,706
1140,706
971,704
302,701
465,701
801,702
634,702
152,563
303,562
467,559
970,558
633,559
1139,557
802,557
1310,555
1482,552
1661,547
149,426
301,424
466,419
632,416
967,412
800,413
1137,411
1308,405
1482,393
1655,387
146,288
299,283
464,278
631,274
795,270
963,266
1135,262
1308,249
1479,238
1653,232
295,145
460,138
625,132
791,127
957,119
1128,112
1302,94
1473,84
1647,75
460,3
285,7
