1185,1485
1019,1473
851,1461
684,1452
517,1441
1195,1333
1027,1322
860,1312
695,1303
527,1295
360,1287
1203,1180
1035,1172
868,1163
702,1157
536,1151
369,1144
1209,1029
1041,1021
874,1017
710,1010
544,1006
375,1002
1212,877
1044,872
879,870
711,866
548,863
381,859
1214,729
1046,726
880,724
716,721
550,719
388,718
1214,577
881,580
384,577
716,578
552,577
1046,579
549,436
382,436
715,435
880,434
1044,433
1211,430
381,296
546,294
711,292
875,290
1041,286
540,151
705,146
871,142
